race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
202006010908,9,7,13,2016105883,牡4,56,01169,1:55.7,1,**,4-3-3-5,40.1,9.1,4,480(0),,01074,089803
202006010908,10,8,15,2016103069,牡4,56,01162,1:55.7,ハナ,**,6-6-6-6,40.0,4.3,2,516(+2),,01086,338007
202006010908,11,5,9,2013102112,牡7,56,01158,1:55.8,3/4,**,13-14-13-10,39.5,78.8,14,526(+30),,01147,445030
202006010908,12,6,11,2013102025,牡7,57,05517,1:56.3,3,**,11-11-13-13,40.0,27.6,12,524(+14),,01134,547800
202006010908,13,4,6,2015102956,牡5,57,01127,1:57.9,10,**,12-11-10-10,41.9,48.4,13,438(+4),,01029,729005
202006010908,14,4,7,2016105424,牡4,56,01029,1:58.0,クビ,**,9-10-10-10,42.0,21.4,9,476(0),,00412,163002
202006010908,15,6,10,2014101000,牡6,57,00726,2:00.2,大,**,3-3-3-14,44.6,234.4,15,514(+2),,01081,619002
202006010909,1,7,8,2017105366,牝3,54,05339,1:50.4,,**,5-6-6-3,34.7,3.0,1,478(+2),,01133,486800
202006010909,2,6,6,2017101746,牡3,56,01092,1:50.6,1.1/4,**,1-1-1-1,35.5,21.4,8,452(0),,01048,546800
202006010909,3,6,7,2017105439,牡3,56,01088,1:50.9,2,**,2-2-2-2,35.6,5.5,2,466(+8),,01071,486800
202006010909,4,3,3,2017106203,牝3,54,00660,1:51.0,クビ,**,10-10-10-9,34.7,6.8,5,502(+10),,01039,370008
202006010909,5,2,2,2017101431,牝3,54,01085,1:51.0,アタマ,**,5-3-5-3,35.4,5.6,3,452(0),,01038,494800
202006010909,6,8,10,2017101183,牡3,56,00684,1:51.3,1.3/4,**,9-9-9-9,35.2,16.1,7,484(+6),,01097,180800
202006010909,7,1,1,2017100316,牡3,56,01077,1:51.3,アタマ,**,3-3-3-3,35.9,9.7,6,468(-2),,01020,910006
202006010909,8,8,11,2017105346,牝3,54,05575,1:51.4,3/4,**,8-8-7-7,35.5,5.6,4,448(+2),,00399,226800
202006010909,9,5,5,2017105971,牡3,56,01158,1:51.5,クビ,**,7-7-7-7,35.7,97.7,10,518(+6),,01133,798033
202006010909,10,7,9,2017104266,牡3,56,00689,1:52.5,6,**,3-3-3-3,37.0,66.2,9,456(-4),,01014,629800
202006010909,11,4,4,2017100320,牝3,54,05488,1:53.0,3,**,11-11-11-11,36.4,172.7,11,498(+7),,05742,910006
202006010910,1,5,5,2016104580,牡4,56,01088,1:53.4,,**,2-2-2-2,37.6,1.8,1,532(+12),,01162,955033
202006010910,2,2,2,2013104237,牡7,57,01043,1:53.8,2.1/2,**,4-3-4-3,37.8,20.4,6,518(-2),,01110,675030
202006010910,3,4,4,2015101209,牡5,57,01162,1:54.0,1.1/4,**,1-1-1-1,38.3,20.5,7,532(0),,01106,209800
202006010910,4,8,11,2014102200,セ6,57,05339,1:54.2,1.1/4,**,10-10-10-10,37.7,3.8,2,518(-4),,01023,003060
202006010910,5,7,10,2016101704,牡4,56,01092,1:54.2,アタマ,**,7-7-7-6,38.0,28.3,8,486(+8),,01108,897009
202006010910,6,6,8,2015101512,牡5,57,01127,1:54.2,クビ,**,12-12-12-10,37.4,17.6,5,520(0),,01005,331006
202006010910,7,7,9,2012103204,牡8,57,01161,1:54.8,3.1/2,**,6-5-4-4,38.8,41.6,9,488(+8),,00420,587008
202006010910,8,1,1,2016100696,牡4,56,01158,1:55.0,3/4,**,8-9-10-10,38.5,63.1,10,476(-2),,01125,716800
202006010910,9,5,6,2016104023,牡4,56,05517,1:55.0,クビ,**,8-8-7-8,38.8,8.8,3,508(-4),,01150,050803
202006010910,10,3,3,2016103085,牡4,56,05575,1:55.3,1.3/4,**,4-5-4-6,39.3,9.7,4,508(-1),,01058,619800
202006010910,11,6,7,2011106393,牡9,57,01118,1:55.6,1.3/4,**,3-3-3-4,39.7,244.0,12,484(-2),,01010,546800
202006010910,12,8,12,2016105179,牡4,56,01085,1:56.2,3.1/2,**,10-10-7-8,40.0,72.9,11,474(-2),,01094,310007
202006010911,1,8,11,2015104882,牡5,57,01088,2:15.0,,**,4-4-5-3,36.1,3.0,1,546(0),,01102,506800
202006010911,2,7,10,2015104287,牡5,56,05339,2:15.2,1.1/4,**,2-2-3-2,36.5,8.0,5,458(-2),,01075,415800
202006010911,3,2,2,2016105239,牡4,55,05575,2:15.5,1.3/4,**,7-8-7-8,36.3,6.8,4,464(+6),,01054,415800
202006010911,4,3,3,2014106160,牡6,56,00660,2:15.6,3/4,**,5-5-7-5,36.5,3.8,2,482(+6),,01115,441007
202006010911,5,8,12,2014106038,牡6,56,01096,2:16.0,2.1/2,**,7-9-9-8,36.7,29.2,8,464(+2),,01071,075803
202006010911,6,7,9,2016103444,牡4,55,01075,2:16.1,1/2,**,7-7-5-3,37.2,8.2,6,494(+2),,01088,897009
202006010911,7,1,1,2015104671,牝5,54,05517,2:16.4,1.3/4,**,12-12-10-5,36.7,18.5,7,514(+14),,01086,808800
202006010911,8,5,5,2014105517,牡6,57,01127,2:16.4,ハナ,**,1-1-1-1,38.1,6.6,3,454(-2),,01002,415800
202006010911,9,6,7,2011104117,牡9,56,05243,2:16.7,2,**,11-11-10-8,37.1,251.1,11,482(+6),,01114,226800
202006010911,10,5,6,2015100106,牡5,56,01043,2:16.7,ハナ,**,10-10-12-8,36.9,205.5,10,460(+10),,01094,136030
202006010911,11,6,8,2014105957,牡6,56,01077,2:18.6,大,**,3-3-4-5,39.8,54.1,9,458(+14),,01053,486800
202006010911,中,4,4,2011106350,牡9,56,01085,,,**,5-5-2-12,,286.7,12,496(+2),,01088,546800
202006010912,1,4,4,2015101702,牝5,55,00660,2:05.8,,**,5-5-5-5,35.3,2.9,2,430(+2),,01165,851009
202006010912,2,6,6,2015104952,牝5,55,01075,2:05.8,アタマ,**,1-1-1-1,35.9,6.8,4,490(+22),,01068,486800
202006010912,3,1,1,2015101288,牝5,55,01096,2:06.0,1.1/4,**,3-4-4-2,35.7,15.8,5,472(+4),,01100,607033
202006010912,4,5,5,2014106051,牝6,55,05575,2:06.0,クビ,**,3-2-2-2,35.9,3.5,3,458(+6),,00399,226800
202006010912,5,3,3,2015106344,牝5,55,05517,2:06.6,3.1/2,**,6-6-6-6,35.9,24.3,6,446(-6),,01134,036006
202006010912,6,2,2,2015104823,牝5,55,05339,2:06.6,クビ,**,2-2-3-2,36.4,2.6,1,460(0),,01053,486800
202008010901,1,3,3,2017101807,牝3,54,01014,1:54.2,,**,1-1-1-1,37.9,2.1,1,460(-8),,00438,788800
202008010901,2,7,7,2017103782,牝3,54,01126,1:54.4,1,**,5-5-3-2,37.8,16.3,6,474(+2),,01157,909006
202008010901,3,8,9,2017104772,牝3,54,01163,1:55.6,7,**,2-2-2-3,39.2,3.2,2,468(-2),,01113,758005
202008010901,4,5,5,2017104971,牝3,52,01174,1:56.5,5,**,5-7-5-6,39.5,15.0,5,484(0),,01136,415800
202008010901,5,8,8,2017100555,牝3,54,01124,1:56.8,1.3/4,**,3-3-7-6,39.7,108.0,8,450(0),,01003,374008
202008010901,6,6,6,2017100466,牝3,54,01062,1:56.9,3/4,**,5-5-5-4,40.0,8.5,4,448(-4),,01095,023007
202008010901,7,4,4,2017103945,牝3,53,01168,1:57.1,1.1/4,**,8-8-8-8,39.8,62.5,7,500(-4),,01033,515800
202008010901,8,1,1,2017105336,牝3,54,05203,1:58.1,6,**,3-3-4-4,41.3,4.7,3,454(-6),,00362,486800
202008010901,9,2,2,2017102322,牝3,54,00894,2:00.9,大,**,8-8-9-9,43.1,289.4,9,420(+4),,01040,119007
202008010902,1,8,11,2017102007,牡3,56,01125,1:12.8,,**,3-3,36.9,2.0,1,498(-2),,01057,061800
202008010902,2,7,9,2017102603,牡3,56,01126,1:13.3,3,**,1-2,37.6,5.0,3,466(-4),,00388,356002
202008010902,3,8,10,2017100540,牡3,56,00666,1:13.6,2,**,2-1,37.8,3.5,2,486(+22),,00411,007803
202008010902,4,7,8,2017106012,セ3,56,01018,1:13.6,ハナ,**,6-6,37.5,15.4,5,448(0),,01002,975030
202008010902,5,6,6,2017100665,牡3,56,01112,1:14.2,3.1/2,**,8-8,37.7,88.0,8,462(-2),,01084,374009
202008010902,6,6,7,2017103650,牡3,56,01147,1:14.4,1.1/4,**,7-7,38.1,12.7,4,458(-2),,01161,515800
